Source,Target,Distance,ExecutionTime
1413293362,250993990,3632,00000,937208
250993990,1302639668,7462,00000,1532417
1302639668,5214233836,4860,00000,825375
5214233836,277455911,8834,00000,1285875
277455911,84565792,6147,00000,2390750
84565792,2397780033,7791,00000,4014625
2397780033,3956257096,6690,00000,2978417
3956257096,4872201137,5634,00000,3100792
4872201137,602609973,4254,00000,2931666
602609973,10304363,7721,00000,3890417
10304363,288806459,23914,00000,4435208
288806459,4779694900,26886,00000,6976208
4779694900,870470108,19586,00000,6327916
870470108,1114083184,21977,00000,4192417
1114083184,706358805,3632,00000,2891292
706358805,189157822,7784,00000,4281375
189157822,292946716,5219,00000,1736875
292946716,4927537507,24847,00000,2335333
4927537507,1982609772,1444,00000,2042791
1982609772,1091549737,25212,00000,3625708
1091549737,1206053729,10659,00000,7518417
1206053729,2453875483,11027,00000,1560208
2453875483,3928599225,5880,00000,839833
3928599225,1613213997,14451,00000,2305333
1613213997,1283395248,17923,00000,2214208
1283395248,3373246128,2650,00000,795250
3373246128,255490579,1722,00000,582458
255490579,5126066574,8467,00000,1458375
5126066574,3256442407,10409,00000,1032208
3256442407,2007195368,4103,00000,579667
2007195368,1755427819,28483,00000,1629250
1755427819,1131142333,25998,00000,1305000
1131142333,4558933011,8164,00000,765583
4558933011,679900205,7232,00000,855875
679900205,267184290,5849,00000,910042
267184290,4959350572,1724,00000,614625
4959350572,623552336,3038,00000,570166
623552336,3857547670,7535,00000,822333
3857547670,289748682,7162,00000,1023791
289748682,288489839,17750,00000,2094500
288489839,1935686061,26590,00000,1494708
1935686061,124427852,25360,00000,1298209
124427852,1233971665,9040,00000,1037750
1233971665,1768659024,8402,00000,1043834
1768659024,370595971,29518,00000,1474791
370595971,1754148518,23835,00000,1647583
1754148518,1307213156,9464,00000,1090916
1307213156,565443063,7093,00000,759792
565443063,587928005,4943,00000,655792
587928005,4680003982,9399,00000,1102292
4680003982,4648938583,4852,00000,1250625
4648938583,1439289328,4794,00000,1501792
1439289328,856318932,10447,00000,1820208
856318932,1328770858,30059,00000,2166417
1328770858,174028837,26176,00000,1823125
174028837,707988589,4237,00000,1535375
707988589,1352341152,23482,00000,2265084
1352341152,252110619,25219,00000,2134583
252110619,97794981,7252,00000,1435709
97794981,1137711008,4583,00000,1363166
1137711008,5072212470,7680,00000,1934791
5072212470,1100711519,9445,00000,3405250
1100711519,3283508924,4470,00000,1716917
3283508924,224491417,8573,00000,1972792
224491417,1224762110,11340,00000,2067291
1224762110,3201701758,5444,00000,1634917
3201701758,288911337,21623,00000,2205750
288911337,287510343,11447,00000,2167125
287510343,359968121,11896,00000,1731291
359968121,1557236619,10882,00000,2337542
1557236619,2310044477,3012,00000,2533375
2310044477,800440195,11591,00000,3545750
800440195,2006216732,6903,00000,3276250
2006216732,262692727,7505,00000,3163709
262692727,3238753954,10974,00000,3154292
3238753954,1568361025,9753,00000,3178417
1568361025,259743366,13033,00000,4099667
259743366,1165813602,17446,00000,3877708
1165813602,1600079158,3373,00000,2642291
1600079158,405145623,26584,00000,5886000
405145623,1429395623,8406,00000,5232458
1429395623,280872037,6588,00000,4313333
280872037,1175974983,5673,00000,3224458
1175974983,4872909676,7002,00000,3052125
4872909676,1077501960,10851,00000,3291000
1077501960,4883148279,20026,00000,4202833
4883148279,1583989891,4867,00000,2564917
1583989891,2479776285,5184,00000,1871333
2479776285,3838732788,10507,00000,2339541
3838732788,343472931,9549,00000,1918834
343472931,3267999476,6047,00000,1134750
3267999476,94049610,20934,00000,2663584
94049610,2054835027,2024,00000,2213292
2054835027,458710483,1919,00000,9254959
458710483,1269551304,25230,00000,33392083
1269551304,2890584017,26361,00000,2056750
2890584017,1591378904,27083,00000,2449000
1591378904,288085621,27101,00000,2539791
288085621,5033266763,22914,00000,2263084
5033266763,1700305395,23899,00000,2338667
1700305395,246746790,28063,00000,2428375
246746790,321931795,31173,00000,2048292
321931795,315855786,9040,00000,1812375
315855786,286672996,7639,00000,1226583
286672996,5419094836,4964,00000,1105084
5419094836,469815533,5440,00000,879166
469815533,1285515731,14699,00000,2242500
1285515731,1179319493,8059,00000,1345833
1179319493,1572484903,10583,00000,1253334
1572484903,2653639809,5133,00000,880208
2653639809,252110603,13716,00000,1913834
252110603,450955313,8683,00000,1394792
450955313,2218328437,10240,00000,1242750
2218328437,1607284504,8695,00000,1073291
1607284504,450272547,9164,00000,1020333
450272547,4291724885,6232,00000,977417
4291724885,1533824184,4289,00000,1609584
1533824184,30562102,24788,00000,8019791
30562102,3381141580,23018,00000,1686334
3381141580,3789570065,2195,00000,688458
3789570065,440653223,10315,00000,1639208
440653223,673974402,31549,00000,2029458
673974402,130025893,10708,00000,1412041
130025893,1968826760,3930,00000,905584
1968826760,2930997125,5567,00000,1566792
2930997125,569766545,29350,00000,2373417
569766545,4375505631,3941,00000,1269916
4375505631,1028549477,4372,00000,1323458
1028549477,3164345947,2113,00000,1152584
3164345947,3017983675,3919,00000,1101125
3017983675,3625878341,18606,00000,2086208
3625878341,1355735680,7972,00000,1791666
1355735680,394936756,10093,00000,2047834
394936756,3856516791,5534,00000,1782042
3856516791,66399699,2317,00000,1571125
66399699,1023047071,24250,00000,2815667
1023047071,4148805639,1554,00000,1006166
4148805639,309772302,11176,00000,1762833
309772302,1853336497,4633,00000,1467250
1853336497,4927446123,8751,00000,2109958
4927446123,3818867764,7908,00000,1597333
3818867764,4169461364,25841,00000,2699625
4169461364,3016813983,17967,00000,2216666
3016813983,321356227,8470,00000,1345416
321356227,1211726509,5933,00000,1077416
1211726509,2491930518,6852,00000,1319708
2491930518,303650421,6009,00000,1034833
303650421,831049872,6308,00000,1399000
831049872,2314798061,8207,00000,1589458
2314798061,2478254900,11400,00000,1419375
2478254900,418052591,9047,00000,1152667
418052591,4739602435,16744,00000,2402500
4739602435,3194668609,5030,00000,903000
3194668609,1912563453,24317,00000,2370750
1912563453,1607330409,9127,00000,1549166
1607330409,3900349430,3787,00000,1036833
3900349430,4927553079,9316,00000,1690125
4927553079,2522087551,5167,00000,1258375
2522087551,310777303,6489,00000,1364375
310777303,334367987,5062,00000,1603792
334367987,2399401395,465,00000,779083
2399401395,4539681854,3283,00000,1078708
4539681854,945002411,5136,00000,1179084
945002411,1184143504,5006,00000,1312791
1184143504,1693131550,13295,00000,2441500
1693131550,1126008489,2448,00000,1556916
1126008489,262498487,8331,00000,2264084
262498487,4496831213,9139,00000,1840708
4496831213,4629523204,21172,00000,2336208
4629523204,1181345794,23168,00000,2645459
1181345794,796541115,9022,00000,2169917
796541115,2512547068,8119,00000,2572041
2512547068,2398080564,10115,00000,3376584
2398080564,3021650614,13286,00000,4096750
3021650614,681920,30617,00000,3324333
681920,279719517,31897,00000,2987583
279719517,265415160,20268,00000,3610209
265415160,1547055925,20731,00000,4581417
1547055925,5420363431,9201,00000,3301166
5420363431,372809712,6124,00000,3059666
372809712,2674389480,19121,00000,2178625
2674389480,4756837197,20914,00000,2211417
4756837197,417645423,8604,00000,1351959
417645423,472349087,9838,00000,1425042
472349087,2606859409,13578,00000,1817125
2606859409,441298456,10952,00000,1577958
441298456,278404986,10274,00000,893625
278404986,1456228184,11174,00000,982417
1456228184,401541142,26453,00000,1962791
401541142,1311924877,18193,00000,1741709
1311924877,1558248852,8591,00000,1239000
1558248852,1394033814,6156,00000,800583
1394033814,321730593,6208,00000,877459
321730593,5322913751,18219,00000,2028791
5322913751,2723746887,15097,00000,1570041
2723746887,334244232,17272,00000,1558416
334244232,318704476,19544,00000,1666625
318704476,365031175,20635,00000,1732875
365031175,1019583700,22886,00000,1871375
1019583700,2688010002,6583,00000,1233750
