Source,Target,Distance,ExecutionTime
370108837,281293870,10641,00000,1643833
281293870,4232999936,19913,00000,2461542
4232999936,430446073,5650,00000,763375
430446073,1456754081,12866,00000,1044125
1456754081,288427183,17118,00000,1202625
288427183,3310153871,15910,00000,1322666
3310153871,3504665527,7440,00000,866375
3504665527,20946246,13839,00000,1114500
20946246,2316135201,6001,00000,681959
2316135201,315151243,3880,00000,536042
315151243,126635567,6997,00000,857750
126635567,3133999175,24959,00000,1920541
3133999175,1083492357,3754,00000,1128208
1083492357,2066198461,19940,00000,1821958
2066198461,1601695081,20315,00000,1658250
1601695081,5221565815,14309,00000,1808708
5221565815,2641818619,13359,00000,1634458
2641818619,2351510471,10815,00000,1627750
2351510471,1153164106,14040,00000,1753917
1153164106,3165346010,9469,00000,1730625
3165346010,1969886403,6994,00000,1486958
1969886403,2309277376,8309,00000,1404375
2309277376,2653375076,15861,00000,1725958
2653375076,1579925431,10969,00000,1455917
1579925431,1129898368,7805,00000,1542375
1129898368,4443384449,12711,00000,1649625
4443384449,1653078152,3358,00000,1452000
1653078152,287996488,1559,00000,1791959
287996488,4647214138,21601,00000,3403375
4647214138,321730705,10993,00000,2435875
321730705,4947689872,23831,00000,2736834
4947689872,433572506,18210,00000,3354375
433572506,319091966,942,00000,2216375
319091966,352603788,20123,00000,3208000
352603788,4229546235,5118,00000,2202500
4229546235,4086020503,4482,00000,1912167
4086020503,301376921,1438,00000,1732333
301376921,311226863,5644,00000,2031000
311226863,2479374956,12315,00000,2293458
2479374956,1601687746,2296,00000,3893417
1601687746,1223388402,13616,00000,3370375
1223388402,1117459847,12151,00000,2968333
1117459847,1221572880,11331,00000,3157750
1221572880,2641834148,7148,00000,2825209
2641834148,247406041,10011,00000,2016125
247406041,295279889,24232,00000,2237416
295279889,4728155622,17560,00000,2388417
4728155622,2633554024,7839,00000,2222584
2633554024,4143367325,5400,00000,691792
4143367325,798173361,5951,00000,1023167
798173361,3283145603,3018,00000,1125625
3283145603,1812923422,4240,00000,569292
1812923422,1018813196,7598,00000,623000
1018813196,2401522743,10529,00000,605916
2401522743,3144546920,7436,00000,542000
3144546920,5370186709,9754,00000,662250
5370186709,2480988347,9159,00000,644500
2480988347,1441029501,10595,00000,627250
1441029501,3121753430,2365,00000,362458
3121753430,1094709691,263,00000,343708
1094709691,1157811753,10345,00000,693209
1157811753,117620,8176,00000,603125
117620,1540416791,5774,00000,1531083
1540416791,1102161661,9315,00000,3922292
1102161661,1586242655,12848,00000,47579833
1586242655,60885307,4400,00000,4128333
60885307,1829480932,1632,00000,628042
1829480932,1120191304,12988,00000,1822375
1120191304,1860818408,9322,00000,1791459
1860818408,391318212,11301,00000,1606208
391318212,437139668,9322,00000,1565125
437139668,1151617965,11424,00000,1570959
1151617965,2027515602,10195,00000,1177000
2027515602,4544497766,6697,00000,802834
4544497766,265886463,7644,00000,1339917
265886463,3758380793,4977,00000,1434375
3758380793,1082636169,3556,00000,1331541
1082636169,2063782581,15237,00000,1870584
2063782581,2399162211,10287,00000,1449166
2399162211,1112064885,25953,00000,1963625
1112064885,2296688652,17364,00000,1486667
2296688652,321436921,3468,00000,1196833
321436921,309771872,14109,00000,1519375
309771872,1581576323,1428,00000,1157583
1581576323,446259927,3687,00000,971209
446259927,3002690396,3492,00000,890208
3002690396,4775908742,2884,00000,947417
4775908742,107329572,23298,00000,1652250
107329572,251740524,21993,00000,1245666
251740524,287814072,19924,00000,1294917
287814072,250663042,3455,00000,1008833
250663042,282661966,3572,00000,895000
282661966,2512140002,8350,00000,983875
2512140002,2522087602,7133,00000,1055625
2522087602,432622476,10741,00000,1198708
432622476,897737483,11721,00000,1101042
897737483,674689934,6531,00000,1114000
674689934,3255768723,3770,00000,911166
3255768723,333029878,1908,00000,949042
333029878,3073204537,10913,00000,1303709
3073204537,2831828867,8154,00000,1138708
2831828867,27130831,20137,00000,1576292
27130831,1103723422,21784,00000,1549083
1103723422,302896196,12678,00000,1468834
302896196,1165486222,12436,00000,1369208
1165486222,2519482980,2256,00000,1191416
2519482980,12637389,7459,00000,1278167
12637389,319094663,6236,00000,1376541
319094663,189083191,7197,00000,1321833
189083191,310586910,16724,00000,1864500
310586910,4682437558,21859,00000,1648875
4682437558,308821585,7880,00000,648291
308821585,470366273,4405,00000,1216125
470366273,1100888171,8798,00000,1451750
1100888171,920140514,4776,00000,799125
920140514,304361622,10824,00000,1340500
304361622,2173242629,5755,00000,1387209
2173242629,2282614671,10898,00000,1716084
2282614671,876210722,13317,00000,1496375
876210722,1128286764,9575,00000,846167
1128286764,1099806191,7642,00000,748667
1099806191,279740940,9459,00000,894416
279740940,4699712345,12557,00000,896791
4699712345,2426004455,703,00000,583709
2426004455,1171107308,12359,00000,865167
1171107308,4679379489,11447,00000,881500
4679379489,3261745475,9367,00000,858000
3261745475,769214363,6308,00000,1223458
769214363,3473271051,10093,00000,1003041
3473271051,1028459376,10771,00000,866500
1028459376,1432288447,8180,00000,708833
1432288447,2351968259,12278,00000,1214042
2351968259,289549179,18218,00000,1732833
289549179,2620697348,19998,00000,1910083
2620697348,10939966,2518,00000,1079084
10939966,1546256943,15885,00000,1113459
1546256943,1725185771,3544,00000,897458
1725185771,4794637473,7362,00000,1460417
4794637473,1195407396,14118,00000,1502833
1195407396,1588722016,17209,00000,1394958
1588722016,450331137,18591,00000,1241209
450331137,541457801,18800,00000,832750
541457801,1187515384,6092,00000,568583
1187515384,1589154299,5843,00000,514667
1589154299,1403131164,13224,00000,856541
1403131164,3252120309,12871,00000,765792
3252120309,2290133688,3611,00000,444084
2290133688,1576063557,7147,00000,805583
1576063557,1239641654,2487,00000,933709
1239641654,2506835578,876,00000,38031250
2506835578,2611912065,7767,00000,976541
2611912065,443354384,5755,00000,626042
443354384,2603619541,6518,00000,804458
2603619541,1996104364,18196,00000,1336500
1996104364,1346352316,3820,00000,885459
1346352316,1635182399,8292,00000,968375
1635182399,3246988867,9897,00000,936833
3246988867,546954419,17253,00000,1595541
546954419,73189973,8106,00000,1273292
73189973,475351388,3353,00000,689417
475351388,4958654957,4324,00000,801458
4958654957,526956385,4026,00000,707584
526956385,3090525234,4150,00000,635667
3090525234,30916204,15469,00000,1107625
30916204,2960469743,3662,00000,626500
2960469743,516555826,20622,00000,1584542
516555826,1578764295,6037,00000,917875
1578764295,2411017089,6977,00000,755750
