Source,Target,Distance,ExecutionTime
3393835383,128653321,679,00000,466959
4123878558,4124581871,9543,00000,1433709
898733546,2061910329,13656,00000,1224709
3509611458,1205836825,5875,00000,723000
34570609,1298230350,2156,00000,440250
2715150654,2598009428,21506,00000,1732417
5191922112,1126934806,10670,00000,1310666
4073248790,1225797283,12544,00000,1190584
3294756499,437139774,2781,00000,598583
469630931,1741873264,23716,00000,2001375
441141806,1650921346,9543,00000,1433125
461981061,1278576926,10949,00000,1662083
250632577,409552776,25091,00000,1987666
2472182776,305114210,6691,00000,1171417
276190071,1584003327,6278,00000,1102208
1104839361,3413673353,22620,00000,1340959
287717013,493665600,10745,00000,1685625
748870332,1117387803,21064,00000,1682833
95211962,638770343,6989,00000,876208
1606529941,3463729030,1747,00000,411792
244976213,576931255,20720,00000,1666500
1015158307,3201583758,1719,00000,542458
535622086,3278925502,8460,00000,985833
2814299800,416620353,7485,00000,1388541
4618201463,295340274,3182,00000,855959
1191832168,112642274,24560,00000,1935167
281935579,2552650375,7528,00000,1365792
5164854753,297149643,20434,00000,1835208
2859387755,1183409055,10984,00000,1324583
321343935,1681745525,17401,00000,1977667
403797109,295078105,18610,00000,2054333
2332713463,891107007,21554,00000,1945584
1327822381,30362597,18361,00000,1841833
2418712900,2351968151,15338,00000,1638500
4073665780,1558645701,24038,00000,1683541
3043031712,1018899268,6627,00000,906083
14091164,2297598528,22314,00000,1763458
576904,269778082,19747,00000,2179833
1211228270,446104215,21211,00000,1681875
413203784,1575521041,4480,00000,888000
85737284,484295260,4114,00000,976834
1584003505,656632827,14920,00000,1257334
538493973,2281083122,9429,00000,1177834
1132215611,346151663,9964,00000,1083166
410724233,280547990,7800,00000,1344417
1155147368,1107589223,20939,00000,2064583
1570665337,4377735346,4099,00000,2436333
279715308,1448321816,9237,00000,2748292
3994215479,369742958,10556,00000,2821000
281408219,1256489625,23190,00000,40213500
1835327423,1387113804,9198,00000,1981083
1137710769,3468114008,5642,00000,1239500
1607360477,137564345,13074,00000,1440042
4832225057,85784696,1633,00000,974625
