Source,Target,Distance,ExecutionTime
4123878558,4124581871,10855,00000,3270917
898733546,2061910329,11465,00000,2676708
3509611458,1205836825,5362,00000,2425209
34570609,1298230350,2056,00000,2184333
2715150654,2598009428,16196,00000,3018792
5191922112,1126934806,10576,00000,2912375
4073248790,1225797283,12998,00000,2884417
3294756499,437139774,3291,00000,2479334
469630931,1741873264,18210,00000,3750083
441141806,1650921346,13651,00000,2560541
461981061,1278576926,10738,00000,2268708
250632577,409552776,18820,00000,2592083
2472182776,305114210,6281,00000,2312375
276190071,1584003327,6185,00000,3076167
1104839361,3413673353,16842,00000,3281125
287717013,493665600,19213,00000,2518125
748870332,1117387803,14791,00000,2530917
95211962,638770343,9738,00000,2754875
1606529941,3463729030,1963,00000,3279458
244976213,576931255,19061,00000,4791916
1015158307,3201583758,1700,00000,15187708
535622086,3278925502,9282,00000,1749709
2814299800,416620353,7293,00000,2412167
4618201463,295340274,3733,00000,1373000
1191832168,112642274,19613,00000,1911125
281935579,2552650375,14636,00000,4781000
5164854753,297149643,18763,00000,2757334
2859387755,1183409055,10906,00000,2042250
321343935,1681745525,14966,00000,2174834
403797109,295078105,12263,00000,2282750
2332713463,891107007,14827,00000,2092000
1327822381,30362597,15722,00000,2712709
2418712900,2351968151,14179,00000,2122041
4073665780,1558645701,18301,00000,2355042
3043031712,1018899268,6594,00000,1883208
14091164,2297598528,15653,00000,2051250
576904,269778082,-1,00000,1878542
1211228270,446104215,19568,00000,2012584
413203784,1575521041,4271,00000,1718916
85737284,484295260,5305,00000,1668708
1584003505,656632827,-1,00000,1837750
538493973,2281083122,11395,00000,1718084
1132215611,346151663,9679,00000,1618916
410724233,280547990,8479,00000,1604291
1155147368,1107589223,17810,00000,2086083
1570665337,4377735346,4029,00000,1690833
279715308,1448321816,8261,00000,1656125
3994215479,369742958,10491,00000,1971209
281408219,1256489625,15237,00000,1745334
1835327423,1387113804,8931,00000,1515708
1137710769,3468114008,5288,00000,1250542
1607360477,137564345,12926,00000,1625250
4832225057,85784696,1642,00000,1052209
1807671066,1151212142,8424,00000,1417417
29216318,202398963,4426,00000,1599375
1117132781,506274579,10639,00000,1565292
301054797,371654240,3265,00000,943875
617759311,1092508168,14803,00000,1629167
417755335,2351252890,3447,00000,956958
1219137520,1689053089,12679,00000,1570125
3334820249,418193164,13860,00000,1473042
2484629546,1096799845,17256,00000,1455375
301894697,1707287994,13298,00000,1100208
451765430,1409847588,5417,00000,992458
413711853,391012544,3743,00000,839459
